procedure_code,procedure_name,icd10_code,snomed_code,body_system,procedure_category,expected_stay_min,expected_stay_max,expected_icu_days,synonyms
CARD-001,Coronary Angioplasty,I25.10,41339005,cardiovascular,Percutaneous Coronary Intervention,2,4,0,"PTCA,PCI,balloon angioplasty,stenting"
CARD-002,CABG - Coronary Artery Bypass,I25.10,232717009,cardiovascular,Cardiac Surgery,7,14,2,"bypass surgery,open heart surgery,heart bypass"
CARD-003,Cardiac Valve Replacement,I35.9,44255002,cardiovascular,Cardiac Surgery,7,12,2,"valve surgery,mitral valve,aortic valve"
CARD-004,Pacemaker Implantation,I49.9,17744000,cardiovascular,Cardiac Electrophysiology,1,2,0,"pacemaker,ICD implant,cardiac device"
ORTH-001,Total Knee Arthroplasty,M17.11,179294005,musculoskeletal,Orthopedic Surgery,4,7,0,"knee replacement,TKR,knee surgery"
ORTH-002,Total Hip Arthroplasty,M16.11,52734007,musculoskeletal,Orthopedic Surgery,5,8,0,"hip replacement,THR,hip surgery"
ORTH-003,Spine Surgery (Discectomy),M51.1,308136004,musculoskeletal,Spine Surgery,3,6,0,"back surgery,slipped disc,lumbar surgery,PLIF"
ORTH-004,Fracture Fixation,S72.009A,74431004,musculoskeletal,Orthopedic Surgery,3,7,0,"ORIF,fracture surgery,bone fixation"
NEURO-001,Stroke Management,I63.9,230690007,neurology,Neurology,7,21,3,"stroke,cerebrovascular accident,CVA,brain stroke"
NEURO-002,Craniotomy,G35,25353009,neurology,Neurosurgery,7,14,2,"brain surgery,tumor removal,AVM clipping"
NEURO-003,Deep Brain Stimulation,G20,230753007,neurology,Neurosurgery,3,5,1,"DBS,Parkinson surgery"
GI-001,Laparoscopic Cholecystectomy,K80.20,45595009,gastroenterology,General Surgery,1,3,0,"gallstone removal,gallbladder surgery,lap chole"
GI-002,Appendectomy,K37,80146002,gastroenterology,General Surgery,2,4,0,"appendix removal,appendicitis surgery"
GI-003,Hernia Repair,K46.9,44558001,gastroenterology,General Surgery,1,3,0,"hernia surgery,inguinal hernia,umbilical hernia"
GI-004,Liver Transplant,K74.60,18027006,gastroenterology,Transplant Surgery,14,30,5,"liver transplantation,living donor liver"
NEPH-001,Kidney Stone Treatment (PCNL),N20.0,312858004,nephrology,Urology,2,4,0,"kidney stone removal,PCNL,URS,lithotripsy"
NEPH-002,Kidney Transplant,N18.6,70536002,nephrology,Transplant Surgery,14,21,3,"renal transplant"
NEPH-003,Dialysis (per session),Z99.2,108241001,nephrology,Nephrology,0,0,0,"haemodialysis,peritoneal dialysis,HD"
OBS-001,Caesarean Section,O82,11466000,obstetrics,Obstetrics,4,7,0,"C-section,cesarean,LSCS"
OBS-002,Normal Vaginal Delivery,O80,48782003,obstetrics,Obstetrics,2,3,0,"NVD,normal delivery,vaginal birth"
OBS-003,Hysterectomy,N81.4,236886002,obstetrics,Gynaecology,5,7,0,"uterus removal,womb removal"
OPH-001,Cataract Surgery,H26.9,422256009,ophthalmology,Ophthalmology,0,1,0,"phacoemulsification,cataract removal,ECCE"
OPH-002,LASIK Eye Surgery,H52.7,312965009,ophthalmology,Ophthalmology,0,0,0,"laser eye surgery,refractive surgery"
ENT-001,Tonsillectomy,J35.01,173422009,ENT,ENT Surgery,1,2,0,"tonsil removal,tonsil surgery"
ENT-002,Sinus Surgery (FESS),J32.9,173422009,ENT,ENT Surgery,1,2,0,"FESS,functional endoscopic sinus surgery,sinus"
ONCO-001,Chemotherapy (per cycle),Z51.11,367336001,oncology,Oncology,0,2,0,"chemo,chemotherapy session,IV chemo"
ONCO-002,Radiotherapy,Z51.0,108290001,oncology,Oncology,0,1,0,"radiation therapy,XRT,external beam radiation"
ONCO-003,Bone Marrow Transplant,C91.00,23719005,oncology,Oncology,21,45,7,"BMT,stem cell transplant,HSCT"
